title,content,image
Yangi Natija,Oquvchilarimiz Ixtirochilikka qadam tanlovida qatnashishdi va 56 million so'm mukofotni qo'lga kiritishdi,Ixt.jpg
Yakuniy imtihon bo'lib o'tdi,Ixtisoslashtirilgan taʼlim muassasalari agentligi tizimidagi Quvasoy shahar ixtisoslashtirilgan maktabida 2025-yil 5- iyun kuni 9- sinf bitiruvchilari uchun Fizika hamda Biologiya fanidan yakuniy davlat attestatsiya imtihonlari boshlandi,photo_2025-06-05_08-29-04.jpg
Yangi Natija,Ixtisoslashtirilgan ta'lim muassasalari agentligi tizimidagi Quvasoy shahar ixtisoslashtirilgan maktabi 6 green sinf o'quvchisi Isomiddinova Farzonaxon JLSAAT -2025 olimpiadasida qatnashib Respublikada 3-oʻrinni olgandi.,photo_2025-06-01_08-32-17.jpg
Yangi Bitiruvchilar,Ixtisoslashtirilgan ta’lim muassasalari agentligi tizimidagi Quvasoy shahar ixtisoslashtirilgan maktabida 23-may kuni "So'nggi qo'ng'iroq" tadbiri o'tkazildi.,photo_2025-05-24_15-28-59.jpg
Diqqat Imtihon,2024-2025-oʻquv yili 4-chorak yakuni boʻyicha imtihonlar bo'lib o'tmoqda CHSB jarayoni belgilangan vaqtda boshlandi va shaffof tarzda boʻlib oʻtmoqda,photo_2025-05-21_08-03-09.jpg
Sport Musobaqalari,Ixtisoslashtirilgan ta'lim muassasalari agentligi tizimidagi Quvasoy shahar ixtisoslashtirilgan maktabida 5 tashabbusning sport yo'nalishida sinflar kesimida musobaqalar tashkil etildi.,photo_2025-04-30_14-35-53.jpg
